domain,suffix,exclude
mastmedia.plu.edu,edu,FALSE
trail.pugetsound.edu,edu,FALSE
toweronline.bethanywv.edu,edu,FALSE
washington.uwc.edu,edu,TRUE
nasa.gov,gov,TRUE
pubmed.ncbi.nlm.nih.gov,gov,TRUE
ncbi.nlm.nih.gov,gov,TRUE
nih.gov,gov,TRUE
gao.gov,gov,TRUE
medlineplus.gov,gov,TRUE
cancer.gov,gov,TRUE
federalreserve.gov,gov,TRUE
cdc.gov,gov,TRUE
uscis.gov,gov,TRUE
whitehouse.gov,gov,TRUE
gop.gov,gov,TRUE
covid.gov,gov,TRUE
noaa.gov,gov,TRUE
ornl.gov,gov,TRUE
congress.gov,gov,TRUE
cbo.gov,gov,TRUE
coronavirus.gov,gov,TRUE
house.gov,gov,TRUE
uscourts.gov,gov,TRUE
usaspending.gov,gov,TRUE
cruz.senate.gov,gov,TRUE
ne.gov,gov,TRUE
nyc.gov,gov,TRUE
petitions.whitehouse.gov,gov,TRUE
sanders.senate.gov,gov,TRUE
sd.gov,gov,TRUE
srpmic-nsn.gov,gov,TRUE
wyo.gov,gov,TRUE
chroniclingamerica.loc.gov,gov,TRUE
paulding.gov,gov,TRUE
collincountytx.gov,gov,TRUE
oneida-nsn.gov,gov,TRUE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
