scope,url,media_name,media_type,media_focus,language,domain,state_abbr
National,https://www.commondreams.org/,Common Dreams,IN,GI,ENG,commondreams.org,na
National,http://www.thedailybeast.com/,Daily Beast,IN,GI,ENG,thedailybeast.com,na
National,http://www.dailycaller.com/,Daily Caller,IN,GI,ENG,dailycaller.com,na
National,http://www.dailydot.com/,Daily Dot,IN,GI,ENG,dailydot.com,na
National,http://www.dailykos.com/,Daily Kos,IN,GI,ENG,dailykos.com,na
National,http://dailysignal.com/,Daily Signal,IN,GI,ENG,dailysignal.com,na
National,http://www.dailysource.org/,Daily Source,IN,GI,ENG,dailysource.org,na
National,http://www.dailynewsus.com/,Daily US News,IN,GI,ENG,dailynewsus.com,na
National,http://www.daylife.com/,Daylife,IN,GI,ENG,daylife.com,na
National,http://www.drudgereport.com/,Drudge Report,IN,GI,ENG,drudgereport.com,na
National,http://www.efluxmedia.com/,E Flux Media,IN,GI,ENG,efluxmedia.com,na
National,http://news.excite.com/,Excite,IN,GI,ENG,news.excite.com,na
National,http://www.factcheck.org/,Fact Check,IN,GI,ENG,factcheck.org,na
National,http://www.fark.com/,Fark,IN,GI,ENG,fark.com,na
National,http://fivethirtyeight.com/,Five Thirty Eight,IN,GI,ENG,fivethirtyeight.com,na
National,http://fusion.net/,Fusion,IN,GI,ENG,fusion.net,na
National,http://gawker.com/,Gawker,IN,GI,ENG,gawker.com,na
National,https://news.google.com/news/?ned=us,Google,IN,GI,ENG,news.google.com,na
National,https://news.google.com/news/?ned=es_us,Google,IN,GI,SPA,news.google.com,na
National,https://grist.org/,Grist,IN,GI,ENG,grist.org,na
National,http://hotair.com/,Hot Air,IN,GI,ENG,hotair.com,na
National,http://www.thehotjoints.com/,Hot Joints,IN,GI,ENG,thehotjoints.com,na
National,http://www.huffingtonpost.com/?country=US,Huffington Post,IN,GI,ENG,huffingtonpost.com,na
National,http://www.ihavenet.com/,I Have Net,IN,GI,ENG,ihavenet.com,na
National,http://idealmedia.com,Ideal Media,IN,GI,ENG,idealmedia.com,na
National,http://www.inquisitr.com/,Inquisitr,IN,GI,ENG,inquisitr.com,na
National,https://insidesources.com/,Inside Sources,IN,GI,ENG,insidesources.com,na
National,https://theintercept.com/,Intercept,IN,GI,ENG,theintercept.com,na
National,http://www.lexisnexis.com/news/,Lexis Nexis,IN,GI,ENG,lexisnexis.com,na
National,http://mashable.com/,Mashable,IN,GI,ENG,mashable.com,na
National,http://www.maximumedge.com/,Maximum Edge,IN,GI,ENG,maximumedge.com,na
National,http://www.mediachat.net/,Media Chat,IN,GI,ENG,mediachat.net,na
National,http://mic.com/,Mic,IN,GI,ENG,mic.com,na
National,http://www.mintpressnews.com/,Mint Press News,IN,GI,ENG,mintpressnews.com,na
National,http://www.monstersandcritics.com/,Monsters and Critics,IN,GI,ENG,monstersandcritics.com,na
National,http://www.msn.com/en-us,MSN,IN,GI,ENG,msn.com,na
National,http://www.msn.com/es-us,MSN,IN,GI,SPA,msn.com,na
National,http://www.nationalmemo.com/,National Memo,IN,GI,ENG,nationalmemo.com,na
National,http://www.newwest.net/,New West,IN,GI,ENG,newwest.net,na
National,http://www.newsandjava.com/,News and Java,IN,GI,ENG,newsandjava.com,na
National,http://newsblogs.blogspot.com/,News at the Speed of Light,IN,GI,ENG,newsblogs.blogspot.com,na
National,http://newsblaze.com/,News Blaze,IN,GI,ENG,newsblaze.com,na
National,http://newsbusters.org/,News Busters,IN,GI,ENG,newsbusters.org,na
National,http://www.newsdump.com/,News Dump,IN,GI,ENG,newsdump.com,na
National,http://www.newshijack.net/,News Hijack,IN,GI,ENG,newshijack.net,na
National,http://www.newsisfree.com/,News Is Free,IN,GI,ENG,newsisfree.com,na
National,http://www.newsmantis.com/,News Mantis,IN,GI,ENG,newsmantis.com,na
National,http://www.newsmax.com/,News Max,IN,GI,ENG,newsmax.com,na
National,http://www.newsringer.com/,News Ringer,IN,GI,ENG,newsringer.com,na
National,http://www.newstelegram.com/,News Telegram,IN,GI,ENG,newstelegram.com,na
National,http://www.newsvine.com/,News Vine,IN,GI,ENG,newsvine.com,na
National,http://www.newswithbob.com/,News with Bob,IN,GI,ENG,newswithbob.com,na
National,http://www.newszoom.com/,News Zoom,IN,GI,ENG,newszoom.com,na
National,http://www.newsweek.com/,Newsweek,IN,GI,ENG,newsweek.com,na
National,http://www.newsy.com/,Newsy,IN,GI,ENG,newsy.com,na
National,http://www.thenextbigstory.com/,Next Big Story,IN,GI,ENG,thenextbigstory.com,na
National,http://observer.com/,Observer,IN,GI,ENG,observer.com,na
National,http://www.onlinejournal.com/,Online Journal,IN,GI,ENG,onlinejournal.com,na
National,http://www.opednews.com/,Op Ed News,IN,GI,ENG,opednews.com,na
National,http://www.opposingviews.com/,Opposing Views,IN,GI,ENG,opposingviews.com,na
National,https://www.ozy.com/,OZY,IN,GI,ENG,ozy.com,na
National,http://patriotpost.us/,Patriot Post,IN,GI,ENG,patriotpost.us,na
National,https://pjmedia.com/,PJ Media,IN,GI,ENG,pjmedia.com,na
National,http://www.politicalsimpleton.com/,Political Simpleton,IN,GI,ENG,politicalsimpleton.com,na
National,http://politicker.com/,Politicker,IN,GI,ENG,politicker.com,na
National,http://www.politico.com/,Politico,IN,GI,ENG,politico.com,na
National,http://www.postchronicle.com/,Post Chronicle,IN,GI,ENG,postchronicle.com,na
National,http://www.prlog.org/,PR Log,IN,GI,ENG,prlog.org,na
National,http://www.purepolitics.com/,Pure Politics,IN,GI,ENG,purepolitics.com,na
National,http://www.rawstory.com/,Raw Story,IN,GI,ENG,rawstory.com,na
National,http://www.realclearpolitics.com/,Real Clear Politics,IN,GI,ENG,realclearpolitics.com,na
National,http://therealnews.com/,Real News Network,IN,GI,ENG,therealnews.com,na
National,http://www.redstate.com/,Red State,IN,GI,ENG,redstate.com,na
National,http://www.salon.com/,Salon,IN,GI,ENG,salon.com,na
National,http://www.schwartzreport.net/,Schwartz Report,IN,GI,ENG,schwartzreport.net,na
National,http://www.slate.com/,Slate,IN,GI,ENG,slate.com,na
National,http://www.socraticnews.com/All,Socratic News,IN,GI,ENG,socraticnews.com,na
National,http://www.speakout.com/,Speak Out,IN,GI,ENG,speakout.com,na
National,https://spectator.us/,Spectator USA,IN,GI,ENG,spectator.us,na
National,http://www.pewstates.org/projects/stateline,Stateline,IN,GI,ENG,pewstates.org,na
National,http://politicalwire.com/,Taegan Goddard's Political Wire,IN,GI,ENG,politicalwire.com,na
National,http://www.terra.com/,Terra,IN,GI,SPA,terra.com,na
National,https://thebl.com/,The BL,IN,GI,ENG,thebl.com,na
National,https://theconversation.com/us/,The Conversation,IN,GI,ENG,theconversation.com,na
National,http://www.thirdreport.com/,Third Report,IN,GI,ENG,thirdreport.com,na
National,http://www.timesofearth.com/,Times of Earth,IN,GI,ENG,timesofearth.com,na
National,http://www.talkmedianews.com/,TMN Talk Media News,IN,GI,ENG,talkmedianews.com,na
National,http://townhall.com/,Townhall,IN,GI,ENG,townhall.com,na
National,http://talkingpointsmemo.com/,TPM,IN,GI,ENG,talkingpointsmemo.com,na
National,http://www.transworldnews.com/,Trans World News,IN,GI,ENG,transworldnews.com,na
National,http://truth-out.org/,Truth Out,IN,GI,ENG,truth-out.org,na
National,http://www.upworthy.com/,Upworthy,IN,GI,ENG,upworthy.com,na
National,http://usdaily.com/,US Daily,IN,GI,ENG,usdaily.com,na
National,http://www.newshub.us/,U.S. News Hub,IN,GI,ENG,newshub.us,na
National,http://www.usa-focus.com/,USA Focus,IN,GI,ENG,usa-focus.com,na
National,http://www.usaheadlines.com/,USA. Headlines,IN,GI,ENG,usaheadlines.com,na
National,https://www.usanews.net/,USA News,IN,GI,ENG,usanews.net,na
National,http://www.vice.com/en_us,Vice,IN,GI,ENG,vice.com,na
National,http://www.viewsandpreviews.com/,Views and Previews,IN,GI,ENG,viewsandpreviews.com,na
National,http://www.vox.com/,Vox,IN,GI,ENG,vox.com,na
National,http://washingtonindependent.com/,Washington Independent,IN,GI,ENG,washingtonindependent.com,na
National,http://www.wnd.com/,WND,IN,GI,ENG,wnd.com,na
National,http://wn.com/,World News,IN,GI,ENG,wn.com,na
National,http://www.worldpronews.com/,World Pro News,IN,GI,ENG,worldpronews.com,na
National,http://www.worldtribune.com/,World Tribune,IN,GI,ENG,worldtribune.com,na
National,http://news.yahoo.com/,Yahoo News,IN,GI,ENG,news.yahoo.com,na
National,http://yaleglobal.yale.edu/,Yale Global Online,IN,GI,ENG,yaleglobal.yale.edu,na
National,http://www.usafns.com/,Armed Forces News Service,IN,ML,ENG,usafns.com,na
National,http://news.cnet.com/,C Net,IN,ST,ENG,news.cnet.com,na
National,http://recode.net/,Recode,IN,ST,ENG,recode.net,na
National,http://www.talkingnewmedia.com/,Talking New Media,IN,ST,ENG,talkingnewmedia.com,na
National,http://www.thetechherald.com/,Tech Talk,IN,ST,ENG,thetechherald.com,na
National,http://www.zdnet.com/,ZD Net,IN,ST,ENG,zdnet.com,na
National,http://bleacherreport.com/,Bleacher Report,IN,SP,ENG,bleacherreport.com,na
National,http://deadspin.com/,Deadspin,IN,SP,ENG,deadspin.com,na
National,http://fansided.com/,Fansided,IN,SP,ENG,fansided.com,na
National,http://www.thepostgame.com/,Post Game,IN,SP,ENG,thepostgame.com,na
National,http://www.rantsports.com/,Rant Sports,IN,SP,ENG,rantsports.com,na
National,http://www.sbnation.com/,SB Nation,IN,SP,ENG,sbnation.com,na
National,http://www.scout.com/,Scout,IN,SP,ENG,scout.com,na
National,http://aol.sportingnews.com/,Sporting News,IN,SP,ENG,aol.sportingnews.com,na
National,http://www.sportsonearth.com/,Sports on Earth,IN,SP,ENG,sportsonearth.com,na
National,http://sports.yahoo.com/,Yahoo Sports,IN,SP,ENG,sports.yahoo.com,na
National,http://www.yardbarker.com/,Yard Barker,IN,SP,ENG,yardbarker.com,na
National,https://www.agriculture.com/,Successful Farming,MG,AG,ENG,agriculture.com,na
National,https://www.adweek.com/,Ad Week,MG,BU,ENG,adweek.com,na
National,https://www.barrons.com/,Barron's,MG,BU,ENG,barrons.com,na
National,http://www.businessweek.com/,Business Week,MG,BU,ENG,businessweek.com,na
National,http://www.forbes.com/,Forbes,MG,BU,ENG,forbes.com,na
National,http://fortune.com/,Fortune,MG,BU,ENG,fortune.com,na
National,http://money.com/,Money,MG,BU,ENG,money.com,na
National,http://www.smartmoney.com/,Smart Money,MG,BU,ENG,smartmoney.com,na
National,http://www.billboard.com/,Billboard,MG,EN,ENG,billboard.com,na
National,http://www.ew.com/ew/,Entertainment Weekly,MG,EN,ENG,ew.com,na
National,https://us.hola.com/,Hola,MG,EN,ENG,us.hola.com,na
National,https://us.hola.com/es/,Hola,MG,EN,SPA,us.hola.com,na
National,http://www.hollywoodreporter.com/,Hollywood Reporter,MG,EN,ENG,hollywoodreporter.com,na
National,http://www.hollywoodweeklymagazine.com/,Hollywood Weekly,MG,EN,ENG,hollywoodweeklymagazine.com,na
National,http://www.nationalenquirer.com/,National Enquirer,MG,EN,ENG,nationalenquirer.com,na
National,http://www.people.com/people/,People,MG,EN,ENG,people.com,na
National,http://www.rollingstone.com/,Rolling Stone,MG,EN,ENG,rollingstone.com,na
National,http://www.radaronline.com/star,Star,MG,EN,ENG,radaronline.com,na
National,http://www.usmagazine.com/,Us,MG,EN,ENG,usmagazine.com,na
National,http://www.american.com/,American,MG,GI,ENG,american.com,na
National,http://www.americanprofile.com/,American Profile,MG,GI,ENG,americanprofile.com,na
National,http://prospect.org/,American Prospect,MG,GI,ENG,prospect.org,na
National,http://spectator.org/,American Spectator,MG,GI,ENG,spectator.org,na
National,http://www.theatlantic.com/,Atlantic Monthly,MG,GI,ENG,theatlantic.com,na
National,http://www.csmonitor.com/,Christian Science Monitor,MG,GI,ENG,csmonitor.com,na
National,http://www.contactomagazine.com/,Contacto,MG,GI,SPA,contactomagazine.com,na
National,http://www.harpers.org/,Harper's,MG,GI,ENG,harpers.org,na
National,http://thehill.com/,Hill,MG,GI,ENG,thehill.com,na
National,http://www.motherjones.com/,Mother Jones,MG,GI,ENG,motherjones.com,na
