classification,class_2,local_regional,domain,name,state,website,twitter,youtube,facebook,owner,medium,collection_date,source
national,national,0,carnegieendowment.org,,,,,,,,,,
local,local,1,carolinacoastonline.com,carolina coast online,NC,http://www.carolinacoastonline.com,newstimesonline,,https://www.facebook.com/CarteretNewsTimes,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,carolinacorner.com,carolina corner,NC,http://www.carolinacorner.com,,,,,Magazines,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,carolinascw.com,wycw,SC,carolinascw.com,,,,Nexstar,TV station,2018-08-02 20:31:06.425892,nexstar.tv
local,local,1,carriagetownenews.com,carriage town news,NH,http://www.carriagetownenews.com,,,https://www.facebook.com/carriagetownenews,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,carrizospringsjavelin.com,javelin,TX,http://www.carrizospringsjavelin.com,csjavelin,https://www.youtube.com/channel/UCUlUtKwyTPs1oeIkaR-S_mA,https://www.facebook.com/pages/Carrizo-Springs-Javelin/253282267479,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,carrollconews.com,carroll county newspapers,AR,http://www.carrollconews.com,,,https://www.facebook.com/carrollcountynews,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,carrollcountycomet.com,carroll county comet,IN,http://www.carrollcountycomet.com,,,,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,carrollcountytimes.com,advocate of eldersburg & sykesville,MD,http://www.carrollcountytimes.com/news/sykesville,CCTNews,https://www.youtube.com/user/CarrollCountyTimes,https://www.facebook.com/cctnews,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,carrollcountytimes.com,advocate of westminster & finksburg,MD,http://www.carrollcountytimes.com/news/westminster,CCTNews,https://www.youtube.com/user/CarrollCountyTimes,https://www.facebook.com/cctnews,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,carrollcountytimes.com,carroll county times,MD,http://www.carrollcountytimes.com,CCTNews,http://www.youtube.com/user/CarrollCountyTimes,https://www.facebook.com/cctnews,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,carrollcountytimes.com,community times,MD,http://www.carrollcountytimes.com/publications/community_times,CCTNews,http://www.youtube.com/user/CarrollCountyTimes,https://www.facebook.com/communitytimesromg,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,carrollspaper.com,carroll daily times herald,IA,http://carrollspaper.com,,https://www.youtube.com/user/carrollspaper/videos,https://www.facebook.com/DailyTimesHerald,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
national,national,0,carscoops.com,,,,,,,,,,
local,local,1,carthagecourier.com,carthage courier,TN,http://www.carthagecourier.com,,,https://www.facebook.com/carthagecourier,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,carthagepress.com,carthage press,MO,http://www.carthagepress.com,carthagepress,http://www.youtube.com/user/carthagepress,https://www.facebook.com/CarthagePress,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,carycitizen.com,cary citizen,NC,http://carycitizen.com,CaryCitizen,https://www.youtube.com/user/CaryCitizen/videos,https://www.facebook.com/carycitizen,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,cascadebusnews.com,cascade business news,OR,http://cascadebusnews.com,cascadebusnews,,https://www.facebook.com/CascadeBusinessNews,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,cascademontana.com,cascade courier,MT,http://www.cascademontana.com/courier.htm,,,https://www.facebook.com/pages/The-Cascade-Courier/137537229621471,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,case.edu,observer,OH,http://observer.case.edu,cwruobserver,,http://www.facebook.com/cwruobserver,,College Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,caseynews.net,casey county news,KY,http://www.caseynews.net,,,https://www.facebook.com/pages/The-Casey-County-News/174858682577906,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,cashmerevalleyrecord.com,valley record,WA,http://cashmerevalleyrecord.com,,,https://www.facebook.com/Cashmerevalleyrecord,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,casperjournal.com,casper journal,WY,http://www.casperjournal.com,casperjournal,https://www.youtube.com/channel/UCm1ZXuroTtToHj-wSvbUIIg/videos,https://www.facebook.com/pages/Casper-Journal/98944122295,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,cassville-democrat.com,democrat,MO,http://www.cassville-democrat.com,CassvilleDemo,https://www.youtube.com/user/democratnews,https://www.facebook.com/CassvilleDemocrat,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,castlerocknewspress.net,news press,CO,http://castlerocknewspress.net,,,https://www.facebook.com/pages/Colorado-Community-Media/258084364225185,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,caswellmessenger.com,caswell messenger,NC,http://www.caswellmessenger.com,,,https://www.facebook.com/pages/Caswell-Messenger/206472899365169,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
national,national,0,catholicculture.org,,,,,,,,,,
national,national,0,catholicnews.com,,,,,,,,,,
national,national,0,catholicnewsagency.com,,,,,,,,,,
local,local-regional,1,catholicphilly.com,,,,,,,,,,
local,local,1,catskillmountainnews.com,catskill mountain news,NY,http://www.catskillmountainnews.com,,,https://www.facebook.com/catskillmountainnews,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local-regional,1,cavalierdaily.com,cavalier daily,VA,http://www.cavalierdaily.com,cavalierdaily,http://www.youtube.com/user/CavalierDaily,https://www.facebook.com/CavalierDaily,,College Newspapers,2018-08-02 14:55:24.612585,usnpl.com
international,international,0,cbc.ca,,,,,,,,,,
local,local,1,cbcmagazine.com,cleveland business connects,OH,http://www.cbcmagazine.com,CBCmagazine,,https://www.facebook.com/cbcmagazine,,Magazines,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,cblnews.com,legal & business news,TX,http://www.cblnews.com,,,,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
national,national,0,cbn.com,,,,,,,,,,
national,national,0,cbr.com,,,,,,,,,,
local,local,1,cbs12.com,wpec,FL,http://www.cbs12.com,,,,Sinclair,TV station,2018-08-02 14:55:24.612585,sbgi.net
local,local,1,cbs17.com,wncn,NC,cbs17.com,,,,Nexstar,TV station,2018-08-02 20:31:06.425892,nexstar.tv
local,local,1,cbs19.tv,kytx,TX,http://www.cbs19.tv/,,,,Tegna Media,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,cbs2iowa.com,kgan,IA,http://www.cbs2iowa.com,,,,Sinclair,TV station,2018-08-02 14:55:24.612585,sbgi.net
local,local,1,cbs42.com,wiat,AL,cbs42.com,,,,Nexstar,TV station,2018-08-02 20:31:06.425892,nexstar.tv
local,local,1,cbs46.com,wgcl,GA,http://www.cbs46.com/,cbs46,,https://www.facebook.com/CBS46,Meredith,TV station,2018-08-02 14:55:24.612585,meridith.com
local,local,1,cbs4indy.com,wttv,IN,http://cbs4indy.com/,cbs4indy,,https://www.facebook.com/CBS4Indy,Tribune,TV station,2018-08-04 01:06:48.283394,tribunemedia.com
local,local,1,cbs4local.com,kdbc,TX,http://www.cbs4local.com/,,,,Sinclair,TV station,2018-08-02 14:55:24.612585,sbgi.net
local,local,1,cbs58.com,wdjt,WI,http://www.cbs58.com/,,,,Weigel Broadcasting,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,cbs5az.com,kpho,AZ,http://www.cbs5az.com/,,,,Meredith Corporation,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,cbs6albany.com,wrgb,NY,http://www.cbs6albany.com,,,,Sinclair,TV station,2018-08-02 14:55:24.612585,sbgi.net
local,local,1,cbs7.com,kosa,TX,http://www.cbs7.com/,,,,Ica Broadcasting,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,cbs8.com,kfmb,CA,http://www.cbs8.com/,,,,Tenga,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,cbsatlanta.com,wgcl,GA,http://www.cbsatlanta.com/,,,,Meredith Corporation,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,cbsaustin.com,keye,TX,http://www.cbsaustin.com,,,,Sinclair,TV station,2018-08-02 14:55:24.612585,sbgi.net
local,local,1,cbslima.com,wlmo-lp,OH,http://www.cbslima.com/,,,,,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,cbslocal.com,kcbs,CA,http://losangeles.cbslocal.com/,,,,CBS Corporation,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,cbslocal.com,kcal,CA,http://losangeles.cbslocal.com/,,,,CBS Corporation,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,cbslocal.com,kpix,CA,http://sanfrancisco.cbslocal.com/,,,,CBS Corporation,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,cbslocal.com,cbs san francisco,CA,http://sanfrancisco.cbslocal.com/,,,,CBS Corporation,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,cbslocal.com,kbcw,CA,http://cwbayarea.cbslocal.com/,,,,CBS Corporation,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,cbslocal.com,kovr,CA,http://sacramento.cbslocal.com/,,,,CBS Corporation,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,cbslocal.com,kmax,CA,http://sacramento.cbslocal.com/,,,,CBS Corporation,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,cbslocal.com,kcnc,CO,http://denver.cbslocal.com/,,,,CBS Corporation,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,cbslocal.com,wtog,FL,http://tampa.cbslocal.com/,,,,CBS Corporation,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,cbslocal.com,wfor,FL,http://miami.cbslocal.com/,,,,CBS Corporation,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,cbslocal.com,wbfs,FL,http://miami.cbslocal.com/,,,,CBS Corporation,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,cbslocal.com,wupa,GA,http://cwatlanta.cbslocal.com/,,,,CBS Corporation,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,cbslocal.com,wbbm,IL,http://chicago.cbslocal.com/,,,,CBS Corporation,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,cbslocal.com,wbz,MA,http://boston.cbslocal.com/,,,,CBS Corporation,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,cbslocal.com,wsbk,MA,http://boston.cbslocal.com/,,,,CBS Corporation,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,cbslocal.com,wjz,MD,http://baltimore.cbslocal.com/,,,,CBS Corporation,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,cbslocal.com,wkbd,MI,http://cwdetroit.cbslocal.com/,,,,CBS Corporation,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,cbslocal.com,wwj,MI,http://detroit.cbslocal.com/,,,,CBS Corporation,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,cbslocal.com,wcco,MN,http://minnesota.cbslocal.com/,,,,CBS Corporation,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,cbslocal.com,wcco | cbs minnesota,MN,http://minnesota.cbslocal.com/,,,,CBS Corporation,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,cbslocal.com,wcbs,NY,http://newyork.cbslocal.com/,,,,CBS Corporation,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,cbslocal.com,wlny,NY,http://newyork.cbslocal.com/station/wlny/,,,,CBS,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,cbslocal.com,kyw,PA,http://philadelphia.cbslocal.com/,,,,CBS Corporation,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,cbslocal.com,wpsg,PA,http://cwphilly.cbslocal.com/,,,,CBS Corporation,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,cbslocal.com,kdka,PA,http://pittsburgh.cbslocal.com/,,,,CBS Corporation,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,cbslocal.com,cbs pittsburgh,PA,http://pittsburgh.cbslocal.com/,,,,CBS Corporation,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,cbslocal.com,wpcw,PA,http://cwpittsburgh.cbslocal.com/,,,,CBS Corporation,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,cbslocal.com,ktvt,TX,http://dfw.cbslocal.com/,,,,CBS Corporation,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,cbslocal.com,ktxa,TX,http://dfw.cbslocal.com/,,,,CBS Corporation,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,cbslocal.com,kstw,WA,http://seattle.cbslocal.com/,,,,CBS Corporation,TV station,2018-08-02 14:55:24.612585,stationindex
national,national,0,cbsnews.com,cbs news,,,,,,,,,
national,national,0,cbssports.com,cbs sports,,,,,,,,,
local,local,1,cbstv3.com,wshm-lp,MA,http://www.cbstv3.com/,,,,Meredith,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,ccchronicle.net,cass city chronicle,MI,http://www.ccchronicle.net,,,https://www.facebook.com/casscitychronicle,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,ccenterdispatch.com,clay center dispatch,KS,http://www.ccenterdispatch.com,,,https://www.facebook.com/pages/The-Clay-Center-Dispatch/131384151840,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,ccheadliner.com,nixa enterprise,MO,http://ccheadliner.com/nixa,HeadlinerNews,,https://www.facebook.com/CCHeadlinerNews/,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,ccheadliner.com,christian county headliner,MO,http://ccheadliner.com,HeadlinerNews,http://www.youtube.com/user/CCHeadlinerNews,https://www.facebook.com/CCHeadlinerNews,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,cctimesdemocrat.com,clay county times democrat,AR,http://www.cctimesdemocrat.com,,http://www.youtube.com/channel/UC_d6SjLdNpL1KGEHP_fW7xg,https://www.facebook.com/pages/Clay-County-Times-Democrat/426992317374291,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,cdapress.com,coeur dalene press,ID,http://www.cdapress.com,,,https://www.facebook.com/CDAPress,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,cdispatch.com,commercial dispatch,MS,http://www.cdispatch.com,cdispatch,,https://www.facebook.com/TheDispatch,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,cecildaily.com,cecil whig,MD,http://www.cecildaily.com,cecil_whig,http://www.youtube.com/user/whigonline,https://www.facebook.com/CecilWhig,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,cedarkeybeacon.com,cedar key beacon,FL,http://www.cedarkeybeacon.com,cedarkeybeacon,,https://www.facebook.com/pages/Cedar-Key-Beacon/114778808614034,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,cedarrepublican.com,cedar republican,MO,http://cedarrepublican.com,CedarRepublican,https://www.youtube.com/channel/UCxVjdEh0NqHJYdK2U_H09Zw,https://www.facebook.com/CedarCountyRepublican,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,cedarspringspost.com,cedar springs post,MI,http://cedarspringspost.com,,,https://www.facebook.com/cedarspringspost,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
national,national,0,celebritynetworth.com,,,,,,,,,,
national,national,0,cen.acs.org,,,,,,,,,,
local,local,1,cenlanow.com,wntz,LA,cenlanow.com,,,,Nexstar,TV station,2018-08-02 20:31:06.425892,nexstar.tv
local,local,1,centennialcitizen.net,centennial citizen,CO,http://centennialcitizen.net,ChrisRotar,,https://www.facebook.com/pages/Centennial-Citizen/428853483843560,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,centerpostdispatch.com,center post dispatch,CO,http://www.centerpostdispatch.com,,,,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,centexproud.com,kyle,TX,centexproud.com,,,,Nexstar,TV station,2018-08-02 20:31:06.425892,nexstar.tv
local,local,1,centexproud.com,kwkt,TX,centexproud.com,,,,Nexstar,TV station,2018-08-02 20:31:06.425892,nexstar.tv
local,local,1,centralcitynews.net,central city news,LA,http://www.centralcitynews.net,,,https://www.facebook.com/pages/Central-City-News/192881377788,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,centralctcommunications.com,bristol press,CT,http://www.centralctcommunications.com/bristolpress,TheBristolPress,,https://www.facebook.com/BristolPress,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,centralctcommunications.com,herald,CT,http://www.centralctcommunications.com/newbritainherald,NewBritHerald,,https://www.facebook.com/NBHerald,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,centralctcommunications.com,newington town crier,CT,http://www.centralctcommunications.com/newington_town_crier,,,,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,centraldakotanews.com,ashley tribune,ND,http://www.centraldakotanews.com/?id=1048,,,,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,centralfloridafuture.com,central florida future,FL,http://www.centralfloridafuture.com,UCFnews,,https://www.facebook.com/UCFNews,,College Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,centralillinoiscw.com,wbui,IL,http://www.centralillinoiscw.com/,,,,Gocom Media,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,centraljersey.com,cranbury press,NJ,http://www.centraljersey.com/news/the_cranbury_press,cranburypress,,https://www.facebook.com/CranburyPress,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,centraljersey.com,hillsborough beacon,NJ,http://www.centraljersey.com/news/hillsborough_beacon,HillsBeacon,,https://www.facebook.com/HillsboroughBeacon,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,centraljersey.com,hopewell valley news,NJ,http://www.centraljersey.com/news/hopewell_valley_news,HopewellValley,,https://www.facebook.com/HopewellValleyNews,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,centraljersey.com,princeton packet,NJ,http://www.centraljersey.com/news/the_princeton_packet,PrincetonPacket,,https://www.facebook.com/princetonpacket,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,centraljersey.com,windsor-hights herald,NJ,http://www.centraljersey.com/news/windsor_hights_herald,WHHerald,,https://www.facebook.com/WindsorHightsHerald,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,centralkitsapreporter.com,central kitsap reporter,WA,http://www.centralkitsapreporter.com,reporterpatriot,,https://www.facebook.com/CKReporter,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,centralkynews.com,advocate messenger,KY,http://www.centralkynews.com/amnews,amnewsonline,,https://www.facebook.com/amnewsonline,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,centralkynews.com,jessamine journal,KY,http://www.centralkynews.com/jessaminejournal,thejj,http://www.youtube.com/user/jessaminejournal,https://www.facebook.com/JessamineJournal,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,centralkynews.com,interior journal,KY,http://www.centralkynews.com/theinteriorjournal,NewsAtTheIJ,,https://www.facebook.com/TheInteriorJournal,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,centralkynews.com,winchester sun,KY,http://www.centralkynews.com/winchestersun,winchestersun,http://www.youtube.com/user/WinchesterSun,https://www.facebook.com/winchestersun,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,centralmaine.com,kennebec journal,ME,http://www.centralmaine.com,kj_online,http://www.youtube.com/user/NewsMaine,https://www.facebook.com/kennebecjournal,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,centralmaine.com,morning sentinel,ME,http://www.centralmaine.com,onlinesentinel,http://www.youtube.com/channel/UCrDCg7QXKCdwJDohJp4-f4A,https://www.facebook.com/morningsentinel,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,centralrecorder.com,recorder,CT,http://centralrecorder.com,TheRecorder,http://vimeo.com/user1681492,https://www.facebook.com/ccsurecorder,,College Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,centralwinews.com,tribune-phonograph,WI,http://www.centralwinews.com/tribune-phonograph,,,https://www.facebook.com/pages/wwwcentralwinewscom/130416110381,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,centralwinews.com,record review,WI,http://centralwinews.com/record-review,,,,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,centralwinews.com,star news,WI,http://centralwinews.com/star-news,,https://www.youtube.com/user/StarNewsMedford/videos,https://www.facebook.com/MedfordStarNews,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,centre-view.com,centre view,VA,http://www.centre-view.com,CentreView,,https://www.facebook.com/ConnectionNewspapers,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local-regional,1,centredaily.com,centre daily times,PA,http://www.centredaily.com,centredaily,https://www.youtube.com/user/CentreDaily/videos,https://www.facebook.com/centredaily,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,ceoworld.biz,ceoworld,NY,http://ceoworld.biz,ceoworld,,https://www.facebook.com/ceomagazine,,Magazines,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,cerescourier.com,ceres courier,CA,http://www.cerescourier.com,cerescourier,https://www.youtube.com/channel/UCpXf60RAWO2C3lUSbkJ9W7w,https://www.facebook.com/cerescourier,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,cetconnect.org,wcet,OH,http://www.cetconnect.org/,,,,,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,cfpmidweek.com,community free press,MO,http://www.cfpmidweek.com,,,,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
national,national,0,cfr.org,,,,,,,,,,
local,local,1,cgsentinel.com,cottage grove sentinel,OR,http://www.cgsentinel.com,CGSentinel,,https://www.facebook.com/pages/Cottage-Grove-Sentinel/277918985580804,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,ch4549.org,weao,OH,http://www.ch4549.org/,,,,Northeastern Educational Television of Ohio,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,ch4549.org,wneo,OH,http://www.ch4549.org/,,,,Northeastern Educational Television of Ohio,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,chaffeecountytimes.com,chaffee county times,CO,http://www.chaffeecountytimes.com,ChaffeeCoTimes,https://www.youtube.com/channel/UCdiYEB3J7Ew_0WhaqhzFdLg,https://www.facebook.com/pages/The-Chaffee-County-Times/156318137788379,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,chagrinvalleytoday.com,chagrin valley times,OH,http://www.chagrinvalleytoday.com,,,,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,challismessenger.com,challis messenger,ID,http://www.challismessenger.com,,,,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,chamberlainsun.com,sun,SD,https://www.chamberlainsun.com,,,https://www.facebook.com/ChamberlainSun,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,championnewspapers.com,chino champion,CA,http://www.championnewspapers.com,NewzTip,,https://www.facebook.com/chinochampion1887,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,channel3000.com,wisc,WI,http://www.channel3000.com/,,,,Television Wisconsin,TV station,2018-08-02 14:55:24.612585,stationindex
international,international,0,channel4.com,,,,,,,,,,
international,international,0,channelnewsasia.com,,,,,,,,,,
local,local,1,chanute.com,chanute tribune,KS,http://www.chanute.com,ChanuteTribune,http://www.youtube.com/channel/UC8rSi_F-VkoWIBrwCFRE2vQ,https://www.facebook.com/pages/The-Chanute-Tribune/100520906674028,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,charitonleader.com,chariton herald-patriot,IA,http://www.charitonleader.com,,,,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,charkoosta.com,char-koosta news,MT,http://www.charkoosta.com,,,https://www.facebook.com/pages/Char-Koosta-News/442070065870230,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,charlescitypress.com,charles city press,IA,http://www.charlescitypress.com,CCPress,http://www.youtube.com/user/charlescitypressvide,https://www.facebook.com/charlescitypress,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,charlestonbusiness.com,regional bus. journal,SC,http://www.charlestonbusiness.com,CRBJ,,https://www.facebook.com/CharlestonBusiness,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,charlestoncitypaper.com,charleston city paper,SC,http://www.charlestoncitypaper.com,chascitypaper,https://www.youtube.com/user/charlestoncitypaper/videos,https://www.facebook.com/charlestoncitypaper,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,charlestonexpress.com,charleston express,AR,http://charlestonexpress.com,,,https://www.facebook.com/pages/Charleston-Express/105935299472731,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,charlestownbridge.com,charlestown patriot-bridge,MA,http://charlestownbridge.com,,,https://www.facebook.com/charlestownpatriotbridge,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,charlotte-sun.com,charlotte sun herald,FL,http://www.charlotte-sun.com,CharlotteSunFla,,https://www.facebook.com/TheCharlotteSun,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,charlotteobserver.com,charlotte observer,NC,http://www.charlotteobserver.com,theobserver,http://www.youtube.com/user/cltdotcom,https://www.facebook.com/thecharlotteobserver,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,charltoncountyherald.com,charlton county herald,GA,http://www.charltoncountyherald.com,,,https://www.facebook.com/charltoncountyherald,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,chathamnewsandrecord.com,chatham news,NC,http://www.chathamnewsandrecord.com,Chathamnews,,https://www.facebook.com/ChathamDailyNews,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,chattanoogacw.com,wfli,TN,http://chattanoogacw.com,,,,Sinclair,TV station,2018-08-02 14:55:24.612585,sbgi.net
local,local,1,chattanoogan.com,chattanoogan,TN,http://www.chattanoogan.com,Chattanoogancom,https://www.youtube.com/user/Chattanoogandotcom/videos,https://www.facebook.com/TheChattanoogan,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,chattanoogapulse.com,pulse,TN,http://www.chattanoogapulse.com,ChattaPulse,https://www.youtube.com/user/ChattanoogaPulse/videos,https://www.facebook.com/chattanoogapulse,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
national,national,0,cheatsheet.com,,,,,,,,,,
local,local,1,cheboygannews.com,daily tribune,MI,http://www.cheboygannews.com,,,https://www.facebook.com/CheboyganDailyTribune,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,cheektowagabee.com,cheektowaga bee,NY,http://www.cheektowagabee.com,CheektowagaBee,,https://www.facebook.com/CheektowagaBee,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,chelsearecord.com,chelsea record,MA,http://www.chelsearecord.com,,,,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
technical,technical,0,chemistryworld.com,,,,,,,,,,
local,local,1,cheneyfreepress.com,cheney free press,WA,http://www.cheneyfreepress.com,,https://www.youtube.com/user/johncfp23,https://www.facebook.com/pages/Cheney-Free-Press/153717341400556,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
