classification,class_2,local_regional,domain,name,state,website,twitter,youtube,facebook,owner,medium,collection_date,source
local,local,1,abc18lima.com,wlqp-lp,OH,http://www.abc18lima.com/,,,,,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,abc19.tv,wkpt,TN,http://www.abc19.tv/,,,,,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,abc22.com,wvny,VT,http://www.abc22.com/,,,,,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,abc22now.com,wkef,OH,http://www.abc22now.com,,,,Sinclair,TV station,2018-08-02 14:55:24.612585,sbgi.net
local,local,1,abc22tv.com,wjcl,GA,http://www.abc22tv.com/,,,,Piedmont Television,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,abc23.com,watm,PA,http://www.abc23.com/,,,,Palm Television,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,abc24.com,wpty,TN,http://www.abc24.com/,,,,Newport Television,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,abc25.com,weht,IN,http://www.abc25.com/,,,,Gilmore Broadcasting,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,abc26.com,wgno,LA,http://www.abc26.com/,,,,Tribune,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,abc27.com,whtm,PA,abc27.com,,,,Nexstar,TV station,2018-08-02 20:31:06.425892,nexstar.tv
local,local,1,abc30.com,kfsn,CA,http://www.abc30.com/,,,,ABC,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,abc3340.com,wgww,AL,http://www.abc3340.com/,,,,Howard Stirk Holdings,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,abc3340.com,wbma-ld,AL,https://abc3340.com/,,,,Sinclair Broadcast Group,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,abc3340.com,wbma,AL,http://www.abc3340.com,,,,Sinclair,TV station,2018-08-02 14:55:24.612585,sbgi.net
local,local,1,abc45.com,wxlv,NC,http://www.abc45.com,,,,Sinclair,TV station,2018-08-02 14:55:24.612585,sbgi.net
local,local,1,abc53.com,wlaj,MI,http://www.abc53.com/,,,,Freedom Broadcasting,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,abc6.com,wlne,MA,http://www.abc6.com/,,,,Freedom Communications,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,abc6onyourside.com,wsyx,OH,http://www.abc6onyourside.com,,,,Sinclair,TV station,2018-08-02 14:55:24.612585,sbgi.net
regional,regional,1,abc7.com,kabc,CA,http://www.abc7.com/,,,,ABC,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,abc7amarillo.com,kvii,TX,http://abc7amarillo.com/,,,,Sinclair,TV station,2018-08-02 14:55:24.612585,sbgi.net
local,local,1,abc7amarillo.com,kvih,TX,http://abc7amarillo.com/,,,,Sinclair,TV station,2018-08-02 14:55:24.612585,sbgi.net
local,local-regional,1,abc7chicago.com,wls,IL,http://www.abc7chicago.com/,,,,ABC,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,abc7news.com,kgo,CA,http://www.abc7news.com/,,,,ABC,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,abc7ny.com,wabc,NY,http://www.abc7ny.com/,,,,ABC,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,abcactionnews.com,,,,,,,,,,
national,national,0,abcnews.go.com,abc news,,,,,,,,,
local,local,1,abcnews4.com,wciv,SC,http://www.abcnews4.com,,,,Sinclair,TV station,2018-08-02 14:55:24.612585,sbgi.net
local,local,1,abcnewspapers.com,anoka county union,MN,http://abcnewspapers.com/anoka,abcnewspapers,http://www.youtube.com/user/abcnewspapers,https://www.facebook.com/abcnewspapers,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,abcnewspapers.com,blaine spring lake park life,MN,http://abcnewspapers.com/blaine,abcnewspapers,http://www.youtube.com/user/abcnewspapers,https://www.facebook.com/abcnewspapers,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,abcnewspapers.com,coon rapids herald,MN,http://abcnewspapers.com/coon-rapids,abcnewspapers,http://www.youtube.com/user/abcnewspapers,https://www.facebook.com/abcnewspapers,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,abcstlouis.com,kdnl,MO,http://www.abcstlouis.com,,,,Sinclair,TV station,2018-08-02 14:55:24.612585,sbgi.net
